Code NL/EN,Translate EN, Code Group (Theme/Subtheme) C,Comment (NL)
Gegevensinconsistentie,Data inconsistency,,
Gegevensuitwisseling,Exchange,,
Gegevensverdeling,Data distribution,,
Gegevensverzameling,Collection,,
Gelatenheid,Resignation,,
Gelijke kansen,Equal opportunities,,
Gelijkheid,Equality,,
Gelijkwaardigheid,Equivalence,,
Geluidshinder,Noise pollution,,
Geluidsoverlast,Noise pollution,,
Gemeenschap,Community,,
Gemeenschappelijke doelen,Common goals,,
Gemeenschapsbetrokkenheid,Community involvement,,
Gemeenschapsdienst,Community service,,
Gemeenschapsgevoel,Sense of community,,
Gemeenschapsvorming,Community building,,
Gemeenschapszin,Solidarity,,
Gemeenschapszorg,Community care,,
Gender differences,Gender differences,,
Gender dynamics,Gender dynamics,,
Gender equality,Gender equality,,
Gender inequality,Gender inequality,,
Gender issues,Gender issues,,
Gender-based violence,Gender-based violence,,
Gender-responsive policy,Gender-responsive policy,,
Genderaspecten,Gender aspects,,
Gendergelijkheid,Gender equality,,
Genderinclusie,Gender inclusion,,
Genderkwesties,Gender issues,,
Genderongelijkheid,Gender inequality,,
Genderrollen,Gender roles,,
Genderverschillen,Gender differences,,
Geneeskunde,Medicine,,
Generaliteit,Generality,,
Generalization,Generalization,,
Generatieverschillen,Generational differences,,
Generative AI,Generative AI,,
Genetische mogelijkheden,Genetic possibilities,,
Genieten van het leven,Enjoying life,,
Genus- en gezondheidsverschillen,Gender and health differences,,
Geografie,Geography,,
Geografische aannames,Geographical assumptions,,
Geografische vergelijking,Geographical comparison,,
Geographic context,Geographic context,,
Geologie,Geology,,
Geopolitical tension,Geopolitical tension,,
Geopolitieke ontwikkelingen,Geopolitical developments,,
Geopolitieke spanningen,Geopolitical tensions,,
Geopolitieke veranderingen,Geopolitical changes,,
Gepersonaliseerde technologie,Personalized technology,,
Geschiedenis,History,,
Geschiedenis van instituten,History of institutes,,
Geslachtservaringen,Gender experiences,,
Geslachtsverschillen,Gender differences,,
Gesprekken,Calls,,
Gespreksvoering,Conversation,,
Gestructureerde evaluatie,Structured evaluation,,
Gevoel van machteloosheid,Feeling of powerlessness,,
Gevoel van verbondenheid,Sense of belonging,,
Gevoelige informatie,Sensitive information,,
Gevoeligheid voor omgevingsfactoren,Sensitivity to environmental factors,,
Gevolgen 2,Consequences 2,,
Gevolgen van klimaatverandering,Consequences of climate change,,
Gezamenlijke verantwoordelijkheid,Joint responsibility,,
Gezonde keuzes,Healthy choices,,
Gezondheid,Health,,
Gezondheid en milieu-impact,Health and environmental impact,,
Gezondheid en vitaliteit,Health and vitality,,
Gezondheid en welzijn,Health and well-being,,
Gezondheidsbewustzijn,Health awareness,,
Gezondheidseducatie,Health education,,
Gezondheidseffecten,Health effects,,
Gezondheidsgerelateerde beperkingen,Health-related limitations,,
Gezondheidsissues,Health issues,,
Gezondheidsklachten,Health complaints,,
Gezondheidsmonitor,Health Monitor,,
Gezondheidsmonitoring,Health monitoring,,
Gezondheidsproblemen,Health,,
Gezondheidspsychologie,Health Psychology,,
Gezondheidsrichtlijnen,Health guidelines,,
Gezondheidsrisico's,Health risks,,
Gezondheidsstatistieken,Health statistics,,
Gezondheidsvoorlichting,Health education,,
Gezondheidswetenschappen,Health Sciences,,
Gezondheidszorg,Health care,,
Gezondheidszorg en technologie,Healthcare and technology,,
Gezondheidszorg uitdagingen,Healthcare challenges,,
Gezondheidszorgen,Health care,,
Gezondheidszorgervaringen,Healthcare Experiences,,
Gezondheidszorguitdagingen,Healthcare challenges,,
GGZ,Mental health care,,
GGZ middelen,Mental health resources,,
GGZ-behandeling,Mental health treatment,,
GGZ-problematiek,Mental health problems,,
GGZ-processen,Mental health processes,,
GGZ-systematiek,Mental health system,,
GGZ-verwachtingen,Mental health expectations,,
Global perspective,Global perspective,,
Global warming,Global warming,,
Globalisering,Globalisation,,
Globalization,Globalization,,
Goed luisteren,Listen carefully,,
Goed werkgeverschap,Good employment practices,,
Goede werkgeverschap,Good employment practices,,
Governance,Governance,,
Government Support,Government Support,,
Gratitude,Gratitude,,
Grensoverschrijdend gedrag,Transgressive behaviour,,
Grenzen stellen,Setting boundaries,,
Grijp op zorgstromen,Grab on care flows,,
Grip op processen,Grip on processes,,
Groei,Growth,,
Groei van de sector,Growth of the sector,,
Groei van groepspraktijken,Growth of group practices,,
Groenbeleid,Green policy,,
Groepsactiviteit,Group activity,,
Groepsbijeenkomst,Group meeting,,
Groepsdiscussie,Group discussion,,
Groepsdynamiek,Group dynamics,,
Groepsidentiteit,Group identity,,
Groepsinterventie,Group intervention,,
Groepsopinie,Group opinion,,
Groepspraktijken,Group practices,,
Groepsreflectie,Group reflection,,
Groepstherapie,Group therapy,,
Group activity,Group activity,,
Group dynamics,Group dynamics,,
Group identity,Group identity,,
Growth mindset,Growth mindset,,
Guidance Navigation Control,Guidance Navigation Control,,
Haalbaarheid,Feasibility,,
Haalbaarheidsonderzoek,Feasibility study,,
Haalbaarheidsstudie,Feasibility study,,
Habits,Habits,,
Handboek,Handbook,,
Handboekontwikkeling,Handbook development,,
Haptic description,Haptic description,,
Health and environment interface,Health and environment interface,,
Health and safety,Health and safety,,
Health awareness,Health awareness,,
Health concerns,Health concerns,,
Health interventions,Health interventions,,
Health Issues,Health Issues,,
Health services,Health services,,
Healthcare,Healthcare,,
Hedendaagse kwesties,Contemporary issues,,
Herbruikbare energie,Renewable energy,,
Hergebruik,Reuse,,
Herhaalde consulten,Repeated consultations,,
Herinnering,Memory,,
Herinneringen,Memories,,
Heritage,Heritage,,
Herkenning,Recognition,,
Herkenning van behoeften,Recognition of needs,,
Herkomst,Origin,,
Herkomst en kolonialisme,Origin and colonialism,,
Hernieuwbare bronnen,Renewable resources,,
Hernieuwbare energie,Renewable energy,,
Hersenactiviteit,Brain activity,,
Herstel,Repair,,
Herstel en eigen regie,Recovery and self-management,,
Herstel en opbouw,Recovery and build-up,,
Herstel van stress,Recovery from stress,,
Herstelbevordering,Recovery promotion,,
Herstelgericht,Recovery-oriented,,
Herstelgericht werken,Recovery-oriented work,,
Herstelgerichte benadering,Recovery-oriented approach,,
Herstelgerichtheid,Recovery orientation,,
Herstelinitiatieven,Recovery initiatives,,
Herstelondersteuning,Recovery support,,
Herstelproces,Recovery,,
Herstelprocessen,Recovery processes,,
Herstelvisie,Recovery vision,,
Herstelwerkzaamheden,Repairs,,
Herstructurering,Restructuring,,
Het gebruik van technologie,The use of technology,,
Hiërarchie,Hierarchy,,
Higher education,Higher education,,
Hightech industrie,High-tech industry,,
Hightechindustrie,High-tech industry,,
Historical analysis,Historical analysis,,
Historical context,Historical context,,
Historical perspective,Historical perspective,,
Historical responsibility,Historical responsibility,,
Historical significance,Historical significance,,
Historisch bewustzijn,Historical awareness,,
Historisch inzicht,Historical insight,,
Historisch onderzoek,Historical research,,
Historisch perspectief,Historical perspective,,
Historische analyse,Historical analysis,,
Historische connecties,Historical connections,,
Historische context,Historical context,,
Historische data,Historical data,,
Historische gegevens,Historical data,,
Historische ontwikkeling,Historical development,,
Hoge werkdruk,High workload,,
Hoger onderwijs,Higher education,,
Hokjesdenken,Pigeonholing,,
Holistic perspective,Holistic perspective,,
Holistic student experience,Holistic student experience,,
Holistisch,Holistic,,
Holistische aanpak,Holistic approach,,
Holistische benadering,Holistic approach,,
Homesickness,Homesickness,,
Homophobia,Homophobia,,
Hoop,Hope,,
Houding ten opzichte van klimaatverandering,Attitudes towards climate change,,
Housing concerns,Housing concerns,,
Housing policies,Housing policies,,
Houtanatomie,Wood anatomy,,
HR-beleid,HR policy,,
HR-functionaris,HR Officer,,
HR-processen,HR processes,,
Huisartsen in loondienst,Employed general practitioners,,
Huisartsenzorg,General practitioner care,,
Huisartsorganisatie,GP organisation,,
Huisdier zorg,Pet care,,
Huiselijk geweld,Domestic violence,,
Huiselijke problemen,Domestic problems,,
Huisvesting,Housing,,
Hulp en ondersteuning,Help and support,,
Hulp en steun,Help and support,,
Hulp vragen,Get help,,
Hulpbronnen,Resources,,
Hulpmiddelen,Set,,
Hulpmiddelen voor duurzaamheid,Tools for sustainability,,
Hulpovereenkomst,Auxiliary agreement,,
Hulpprocessen,Auxiliary processes,,
Hulpverlening,Aid,,
Hulpvraag,Request for help,,
Hulpvragen,Requests for help,,
Hulpvragers,People seeking help,,
Hulpzoekgedrag,Help-seeking behavior,,
Human capital,Human capital,,
Human mobility,Human mobility,,
Human mobility governance,Human mobility governance,,
Human rights,Human rights,,
Human rights violations,Human rights violations,,
Human trafficking,Human trafficking,,
Humanitarian Action,Humanitarian Action,,
Humanitarian Concerns,Humanitarian Concerns,,
Humanitarian policy,Humanitarian policy,,
Humor,Humour,,
Huwelijk,Marriage,,
Hydrologische modellen,Hydrological models,,
Hypothesevorming,Hypothesis formation,,
Hypothesis,Hypothesis,,
Idealen,Ideals,,
Idealen en aspiraties,Ideals and aspirations,,
Ideational approach,Ideational approach,,
Identificatie,Identification,,
Identificatie van geïrrigeerde gebieden,Identification of irrigated areas,,
Identificeren van werkzame elementen,Identification of active elements,,
Identiteit,Identity,,
Identiteitscrisis,Identity crisis,,
Identity and representation,Identity and representation,,
Identity formation,Identity formation,,
Identity issues,Identity issues,,
Identity politics,Identity politics,,
Ideological analysis,Ideological analysis,,
Ideological complexity,Ideological complexity,,
Ideological perspective,Ideological perspective,,
Ideological stance,Ideological stance,,
Ideology,Ideology,,
Illegale activiteiten,Illegal activities,,
Imago,Image,,
Immigratie,Immigration,,
Immigration attitudes,Immigration attitudes,,
Immunologie,Immunology,,
Impact,Impact,,
Impact evaluatie,Impact evaluation,,
Impact maken,Making an impact,,
Impact meten,Measuring impact,,
Impact of budget cuts,Impact of budget cuts,,
Impact of climate change,Impact of climate change,,
Impact of political instability,Impact of political instability,,
Impact of public projects,Impact of public projects,,
Impact of social change,Impact of social change,,
Impact of social issues,Impact of social issues,,
Impact of technology,Impact of technology,,
Impact of technology on learning,Impact of technology on learning,,
Impact on motivation and outcomes,Impact on motivation and outcomes,,
Impact on women and children,Impact on women and children,,
Impact op anderen,Impact on others,,
Impact op de samenleving,Impact on society,,
Impact op flora en fauna,Impact on flora and fauna,,
Impact op het milieu,Impact on the environment,,
Impact op landbouw,Impact on agriculture,,
Impact op milieu,Impact on the environment,,
Impact op naasten,Impact on loved ones,,
Impact op omgeving,Impact on the environment,,
Impact op organisaties,Impact on organizations,,
Impact op relaties,Impact on relationships,,
Impact op samenleving,Impact on society,,
Impact op sectoren,Impact on sectors,,
Impact op sociaal leven,Impact on social life,,
Impact van beleid,Impact of policy,,
Impact van COVID-19,Impact of COVID-19,,
Impact van criminaliteit,Impact of crime,,
Impact van functioneren,Impact of performance,,
Impact van gebeurtenissen,Impact of events,,
Impact van geluid,Impact of noise,,
Impact van het verleden,Impact of the past,,
impact van het weer,Impact of the weather,,
Impact van klimaatverandering,Impact of climate change,,
Impact van onderzoek,Impact of research,,
Impact van rampen,Impact of disasters,,
Impact van samenwerking,Impact of collaboration,,
Impact van technologie,Impact of technology,,
Impact van thuissituaties,Impact of home situations,,
Impact van verhalen,Impact of stories,,
Impact van vervuiling,Impact of pollution,,
Impact van waarschuwingen,Impact of alerts,,
Impact van weer,Impact of weather,,
Impact van weer op leven,Impact of weather on life,,
Impact van werk,Impact of work,,
Impact van ziekte,Impact of disease,,
Impactbeoordeling,Impact assessment,,
Impactdoelen,Impact goals,,
Impactevaluatie,Impact evaluation,,
Impactful research,Impactful research,,
Impactgericht,Impact-oriented,,
Impactgericht ondernemen,Impact-oriented entrepreneurship,,
Impactgericht ondernemerschap,Impact-oriented entrepreneurship,,
Impactgericht onderzoek,Impact-oriented research,,
Impactgerichtheid,Impact orientation,,
Impactmeting,Impact measurement,,
Impactstudies,Impact studies,,
Implementatie,Implementation,,
Implementatie en monitoring,Implementation and monitoring,,
Implementatie van plannen,Plan implementation,,
Implementatieproblemen,Implementation issues,,
Implementation,Implementation,,
Implementation challenges,Implementation challenges,,
Importance of verification,Importance of verification,,
Impotentie,Impotence,,
In-group favoritism,In-group favoritism,,
In-group vs. out-group,In-group vs. out-group,,
Inbreng van betrokkenen,Input from stakeholders,,
Incentives,Incentives,,
Incitement,Incitement,,
Inclusie,Inclusion,,
Inclusie en exclusie,Inclusion and exclusion,,
Inclusie in sport,Inclusion in sports,,
Inclusief leiderschap,Inclusive leadership,,
Inclusief onderwijs,Inclusive education,,
Inclusief onderwijsbeleid,Inclusive education policy,,
Inclusive learning,Inclusive learning,,
Inclusiviteit,Inclusiveness,,
Inconsistentie,Inconsistency,,
Inconsistenties,Inconsistencies,,
Indifference,Indifference,,
Indigenous perspective,Indigenous perspective,,
Individual practices,Individual practices,,
Individuele aanpak,Individual approach,,
Individuele benadering,Individual approach,,
Individuele patiëntgerichtheid,Individual patient focus,,
Individuele versus structurele oorzaken,Individual versus structural causes,,
Industrële robotica,Industrial robotics,,
Industrialisatie,Industrialisation,,
Industrie,Industry,,
Industrie en handel,Industry and trade,,
Industrieanalyse,Industry Analysis,,
Industrieclusters,Industry clusters,,
Industrieel bouwen,Industrial construction,,
Industrieel voordeel,Industrial advantage,,
Industriële afnemer,Industrial customer,,
Industrieontwikkeling,Industry development,,
Industry engagement,Industry engagement,,
Industry experience,Industry experience,,
Industry statistics,Industry statistics,,
Inefficiëntie,Inefficiency,,
Inequality,Inequality,,
Informatie,Information,,
Informatie begrijpen,Understanding Information,,
Informatie delen,Sharing information,,
Informatie duidelijkheid,Information clarity,,
Informatie overdracht,Information transfer,,
Informatie zoeken,Find information,,
Informatie-inzameling,Information collection,,
Informatie-overload,Information overload,,
Informatie-uitwisseling,Information exchange,,
Informatie-zoekgedrag,Information-seeking behavior,,
Informatiebeheer,Information management,,
Informatiebronnen,Resources,,
Informatiedeling,Information sharing,,
Informatief,Informative,,
Informatiegebrek,Lack of information,,
Informatiegedrag,Information behaviour,,
Informatiehiaten,Information gaps,,
Informatiemiddelen,Information resources,,
Informatieoverdracht,Transfer of information,,
Informatieoverload,Information overload,,
Informatieperceptie,Information perception,,
Informatietekort,Lack of information,,
Informatieve communicatie,Informative communication,,
Informatieveiligheid en risicobeheer,Information security and risk management,,
Informatievergaring,Information gathering,,
Informatieverschaffing,Disclosure,,
Informatieverspreiding,Dissemination,,
Informatieverstrekking,Information,,
Informatieverwerking,Information processing,,
Informatievoorkeur,Information preference,,
Informatievoorziening,Information,,
Informatiewens,Request for information,,
Informatiezoekend gedrag,Information-seeking behavior,,
Informatiezoekgedrag,Information search behavior,,
Information accuracy,Information accuracy,,
Information Exchange,Information Exchange,,
Information sharing,Information sharing,,
Informative,Information,,
Informed consent,Informed consent,,
Informele communicatie,Informal communication,,
Informele sfeer,Informal atmosphere,,
Informeren,Inform,,
Infrastructure development,Infrastructure development,,
Infrastructuur,Infrastructure,,
Infrastructuurproblemen,Infrastructure problems,,
Infrastructuurprojecten,Infrastructure,,
Inhoudelijke bijdrage,Substantive contribution,,
Inhoudelijke verandering,Substantive change,,
Inhoudsniveau,Content level,,
Inhoudsverbetering,Content enhancement,,
Initiatief,Initiative,,
Initiatief nemen,Taking initiative,,
Initiatiefnemers,Promoters,,
Initiatieven,Initiatives,,
Inkomensverschillen,Income differences,,
Inkoopstrategie,Procurement strategy,,
Innovatie,Innovation,,
Innovatie in aquacultuur,Innovation in aquaculture,,
Innovatie in de geneeskunde,Innovation in medicine,,
Innovatie in de zorg,Innovation in healthcare,,
Innovatie in landbouw,Innovation in agriculture,,
Innovatie stimuleren,Driving innovation,,
Innovatie uitdaging,Innovation challenge,,
Innovatie uitdagingen,Innovation challenges,,
Innovatie-remmende factoren,Innovation-inhibiting factors,,
Innovatiedruk,Innovation pressure,,
Innovatieondersteuning,Innovation support,,
Innovaties,Innovations,,
Innovaties in behandeling,Innovations in progress,,
Innovatieve technologie,Innovative technology,,
Innovatieve technologieën,Innovative technologies,,
Innovation in education,Innovation in education,,
Innovation in research,Innovation in research,,
Innovation in sustainability,Innovation in sustainability,,
Innovation in technology,Innovation in technology,,
Innovative learning methods,Innovative learning methods,,
Innovative solutions,Innovative solutions,,
Innovative technology,Innovative technology,,
Insecurity,Insecurity,,
Inspanning,Effort,,
Inspectie,Inspection,,
Inspiratie,Inspiration,,
Inspirerende omgeving,Inspiring environment,,
Inspirerende presentaties,Inspiring presentations,,
Inspraak,Participation,,
Institutional capacity building,Institutional capacity building,,
Institutional framework,Institutional framework,,
Institutional process,Institutional process,,
Institutional responsibility,Institutional responsibility,,
Institutionele ontwikkeling,Institutional development,,
Instroom,Inflow,,
Instroom in de GGZ,Influx into mental health care,,
Instroom- en uitstroommechanismen,Inflow and outflow mechanisms,,
Instructie,Instruction,,
Instructie geven,Giving instruction,,
Instructies,Instructions,,
Instructional atmosphere,Instructional atmosphere,,
Instructional design,Instructional design,,
Instructional Strategies,Instructional Strategies,,
Instrumentbeoordeling,Instrument Assessment,,
Integrale zorg,Integrated care,,
Integratie,Integration,,
Integriteit,Integrity,,
Intellectuele uitdaging,Intellectual challenge,,
Intense experience,Intense experience,,
Intensiteit van weerfenomenen,Intensity of weather phenomena,,
Intensity,Intensity,,
Intent,Intent,,
Interactie,Interaction,,
Interactie op sociale media,Social Media Interaction,,
Interactieve aanpak,Interactive approach,,
Interconnectedness,Interconnectedness,,
Intercultureel onderzoek en uitwisseling,Intercultural research and exchange,,
Interdisciplinair,Interdisciplinary,,
Interdisciplinair en domeinoverstijgend werken,Interdisciplinary and cross-domain work,,
Interdisciplinair onderwijs,Interdisciplinary education,,
Interdisciplinair onderzoek,Interdisciplinary research,,
Interdisciplinair samenwerken,Interdisciplinary collaboration,,
Interdisciplinair werken,Interdisciplinary work,,
Interdisciplinaire aanpak,Interdisciplinary approach,,
Interdisciplinaire samenwerking,Interdisciplinary collaboration,,
Interdisciplinariteit,Interdisciplinarity,,
Interdisciplinary applications,Interdisciplinary applications,,
Interdisciplinary approach,Interdisciplinary approach,,
Interdisciplinary Collaboration,Interdisciplinary Collaboration,,
Interdisciplinary connections,Interdisciplinary connections,,
Interdisciplinary research,Interdisciplinary research,,
Interesse,Interest,,
Interesse in cursus,Interested in course,,
Interesse in educatie,Interest in education,,
Interesse in hobby's,Interest in hobbies,,
Interesse in informatie,Interest in information,,
Interesse in innovatie,Interest in innovation,,
Interesse in interactie,Interest in interaction,,
Interesse in nieuwe technologieën,Interest in new technologies,,
Interesse in onderwerp,Interest in topic,,
Interesse in ruimteonderzoek,Interest in space research,,
Interesse in technologie,Interest in technology,,
Interesse in wetenschap,Interest in science,,
Interessewekken,Arousing interest,,
Interest in collaboration,Interest in collaboration,,
Interest in energy transition,Interest in energy transition,,
Interest in learning,Interest in learning,,
Interest in technology,Interest in technology,,
Intergroup relations,Intergroup relations,,
Intermediair,Intermediary,,
Internally displaced persons (IDPs),Internally displaced persons (IDPs),,
Internationaal bewustzijn,International awareness,,
Internationaal onderzoek,International research,,
Internationaal talent,International talent,,
International collaboration,International collaboration,,
International Cooperation,International Cooperation,,
International humanitarian law,International humanitarian law,,
International law,International law,,
International relations,International relations,,
Internationale betrokkenheid,International involvement,,
Internationale concurrentie,International competition,,
Internationale ervaring,International experience,,
Internationale partners,International partners,,
Internationale samenwerking,International cooperation,,
Internationale studenten,International students,,
Interne communicatie,Internal communication,,
Interne frictie,Internal friction,,
Interoception,Interoception,,
Interplay of identity and politics,Interplay of identity and politics,,
Interpretatie,Interpretation,,
Interpretatie van resultaten,Interpretation of results,,
Interrelation,Interrelation,,
Interrelation of Body and Environment,Interrelation of Body and Environment,,
Intersectionality,Intersectionality,,
Intersectionele ongelijkheid,Intersectional inequality,,
Interventie,Intervention,,
Interventies en beleid,Interventions and policy,,
Interventies en ondersteuning,Interventions and support,,
Intervention,Intervention,,
Intervention efficacy,Intervention efficacy,,
Interviewanalyse,Interview analysis,,
Interviews,Interviews,,
Interviewtechnieken,Interview Techniques,,
Intimidatie,Intimidation,,
Intrinsic motivation,Intrinsic motivation,,
Intrinsieke motivatie,Intrinsic motivation,,
Investeren in personeel,Investing in staff,,
Investeren in werkgeluk,Investing in happiness at work,,
Investering,Investment,,
Investering in de gemeenschap,Investment in the community,,
Investering in participatie,Investment in participation,,
Investering in toekomst,Investment in the future,,
Investeringen,Investment,,
Investeringen in welzijn,Investments in well-being,,
Investeringsstrategieën,Investment strategies,,
Investigative inquiry,Investigative inquiry,,
Invitation for engagement,Invitation for engagement,,
Invloed,Influence,,
Invloed op groei,Impact on growth,,
Invloed op werk,Impact on work,,
Invloed van de golfstroom,Influence of the Gulf Stream,,
Invloed van externe factoren,Influence of external factors,,
Invloed van het verleden,Influence of the past,,
Invloed van het weer,Influence of the weather,,
Invloed van instellingen,Influence of institutions,,
Invloed van locatie,Influence of location,,
Invloed van omgeving,Influence of environment,,
Invloed van opleiding op werk,Influence of education on work,,
Invloed van privéproblemen,Influence of private problems,,
Invloed van technologie,Influence of technology,,
Invloed van verandering,Influence of change,,
Invloed van weer,Influence of weather,,
Invloed van weer op activiteiten,Influence of weather on activities,,
Invloed van weer op stemming,Influence of weather on mood,,
Invloed verliezen,Losing influence,,
Invloeden van het weer,Influences of the weather,,
Inzameling,Collection,,
Inzet,Bet,,
Inzicht,Insight,,
Inzicht in gedrag,Insight into behavior,,
Inzicht in neurologische aandoeningen,Understanding Neurological Disorders,,
Inzicht in verschillen,Understanding differences,,
Inzicht verkrijgen,Gain insight,,
Inzichtelijkheid,Transparency,,
Inzichten,Insights,,
Inzichten en lessen geleerd,Insights and lessons learned,,
Inzichten en voorspellingen,Insights and predictions,,
Inzichten verkrijgen,Gain insights,,
Irritability,Irritability,,
Islamofobie,Islamophobia,,
Israel-Palestine conflict,Israel-Palestine conflict,,
Item Development,Item Development,,
Item exclusion,Item exclusion,,
Item reliability,Item reliability,,
Item removal,Item removal,,
Jaarlijkse variatie,Annual variation,,
Jeugd,Youth,,
Jeugdgezondheid,Youth Health,,
Jeugdparticipatie,Youth participation,,
Job insecurity,Job insecurity,,
Jonge vaklieden,Young craftsmen,,
Jongeren,Young people,,
Jongeren en mentale gezondheid,Young people and mental health,,
Jongeren focus,Youth focus,,
Jongerenbetrokkenheid,Youth involvement,,
Jongerencommunicatie,Youth communication,,
Jongerenparticipatie,Youth participation,,
Jongerenrechten,Youth rights,,
Joy,Joy,,
Joyfulness,Joyfulness,,
Juridische richtlijnen,Legal guidelines,,
Kanker Preventie,Cancer Prevention,,
Kansen,Chances,,
Kansen en bedreigingen,Opportunities and threats,,
Kansen en risico's,Opportunities and risks,,
Kansen voor startups,Opportunities for startups,,
Kansengelijkheid,Equality of opportunity,,
Kansenverlies,Loss of opportunities,,
Kantelpunten,Tipping points,,
Kennis,Knowledge,,
Kennis en bewustzijn,Knowledge and awareness,,
Kennis en inzichten,Knowledge and insights,,
Kennis en vaardigheden,Knowledge and skills,,
Kennis van klimaatverandering,Knowledge of climate change,,
Kennis van weeralarmen,Knowledge of weather alarms,,
Kennisdeling,Knowledge sharing,,
Kennisdelingsinitiatieven,Knowledge sharing initiatives,,
Kenniseconomie,Knowledge economy,,
Kennisgebrek,Lack of knowledge,,
Kennisinfrastructuur,Knowledge infrastructure,,
Kennisintegratie,Knowledge integration,,
Kennismanagement,Knowledge management,,
Kennisontwikkeling,Knowledge development,,
Kennisopbouw,Knowledge building,,
Kennisoverdracht,Transfer,,
Kennisuitwisseling,Knowledge,,
Kennisverlies,Loss of knowledge,,
Kennisverschuiving,Knowledge shift,,
Kennisverspreiding,Knowledge dissemination,,
Kennisvertaling,Knowledge translation,,
Kennisverwerving,Knowledge acquisition,,
Kernenergie,Nuclear energy,,
Kernwaarden,Values,,
Keuzes maken,Making choices,,
Keuzestress,Stress of choice,,
Keuzevrijheid,Choice,,
Kinderen,Children,,
Klantbehoeften,Customer needs,,
Klantbetrokkenheid,Customer engagement,,
Klantgerichtheid,Customer focus,,
Klantrelaties,Customer relationships,,
Klanttevredenheid,Customer satisfaction,,
Klasdynamiek,Classroom dynamics,,
Klassificatie,Classification,,
Kledingkeuze,Choice of clothing,,
Klein schalig,Small scale,,
Kleine bedrijven,Small Business,,
Kleine organisaties,Small organizations,,
Kleuronderzoek,Color research,,
Klimaat,Climate,,
Klimaatadaptatie,Climate adaptation,,
Klimaatakkoord,Climate agreement,,
Klimaatbewustzijn,Climate awareness,,
Klimaatcommunicatie,Climate communication,,
Klimaatdoelen,Climate goals,,
Klimaatdoelstellingen,Climate targets,,
Klimaatimpact,Climate impact,,
Klimaatonderzoek,Climate research,,
Klimaatscenario's,Climate scenarios,,
Klimaatverandering,Climate change,,
Klimaatzorgen,Climate concerns,,
Klimatologische veranderingen,Climatic changes,,
Klinische toepassingen van AI,Clinical Applications of AI,,
Knelpunten,Bottlenecks,,
Knowledge gap,Knowledge gap,,
Knowledge gaps,Knowledge gaps,,
Knowledge sharing,Knowledge sharing,,
Kolonialisme,Colonialism,,
Koppeling tussen weer en klimaat,Weather-climate nexus,,
Korte termijn effecten,Short-term effects,,
Kortere wachttijd,Shorter waiting time,,
Kosten,Cost,,
Kosten-batenanalyse,Cost-benefit analysis,,
Kostenanalyse,Cost analysis,,
Kostenbeheer,Cost management,,
Kostenbeheersing,Cost control,,
Kostenbesparing,Cost savings,,
Kostenbewustzijn,Cost awareness,,
Kostenoverweging,Cost Consideration,,
Kostenpreventie,Cost prevention,,
Kracht van de groep,Strength of the group,,
Krachten bundelen,Join forces,,
Krachtgericht,Strength-oriented,,
"Kritiek op systemen, structuren en praktijken","Criticism of systems, structures and practices",,
Kritische houding en denkprocessen,Critical attitude and thought processes,,
Kruisbestuiving tussen wetenschap en maatschappij,Cross-pollination between science and society,,
Kunst en politiek,Art and politics,,
Kunstmatige intelligentie,Artificial intelligence,,
Kunstmatige intelligentie risico's,Artificial intelligence risks,,
Kwalitatief onderzoek,Qualitative research,,
Kwalitatieve analyse,Qualitative analysis,,
Kwalitatieve interviews,Qualitative interviews,,
Kwaliteit,Quality,,
Kwaliteit van dienstverlening,Quality of service,,
Kwaliteit van gegevens,Quality of data,,
Kwaliteit van informatie,Quality of information,,
Kwaliteit van leven,Quality of life,,
Kwaliteit van vakmanschap,Quality of workmanship,,
Kwaliteit van zorg,Quality of care,,
Kwaliteiten en beperkingen,Qualities and limitations,,
Kwaliteitsbeheersing,Quality control,,
Kwaliteitsbewustzijn,Quality awareness,,
Kwaliteitscontrole,Quality assurance,,
Kwaliteitseisen,Quality,,
Kwaliteitsverbetering,Quality,,
Kwantitatief onderzoek,Quantitative research,,
Kwantitatieve gegevens,Quantitative data,,
Kwantumcomputing,Quantum computing,,
Kwantummechanica,Quantum mechanics,,
Kwetsbaarheid,Vulnerability,,
Kwetsbare groepen,Vulnerable groups,,
Laag engagement,Low engagement,,
Labor,Labor,,
Labor dynamics,Labor dynamics,,
Labor migration,Labor migration,,
Laboratoriumstudies,Laboratory studies,,
Laboratory study,Laboratory study,,
Labour shortages,Labour shortages,,
Lack of clarity,Lack of clarity,,
Land tenure,Country tenure,,
Land use issues,Land use issues,,
Landbouw,Agriculture,,
Landbouwefficiëntie,Agricultural efficiency,,
Landbouwefficiëntie (2),Agricultural efficiency (2),,
Landbouwpraktijken,Agricultural practices,,
Landbouwproblemen,Agricultural problems,,
Landelijke ontwikkelingen,National developments,,
Langdurige gezondheidsproblemen,Long-term health problems,,
Langdurige klachten,Long-term complaints,,
Langetermijndoelen,Long-term goals,,
Langetermijneffect,Long-term effect,,
Langetermijnplanning,Long-term planning,,
Langetermijnstrategie,Long-term strategy,,
Language and communication,Language and communication,,
Latent variables,Latent variables,,
Leadership,Leadership,,
LEAN-principes,LEAN principles,,
Learning,Learning,,
Learning engagement,Learning engagement,,
Learning experience,Learning experience,,
Learning materials,Learning materials,,
Learning methods,Learning methods,,
Learning modalities,Learning modalities,,
Learning opportunities,Learning opportunities,,
